t;ax_g;ay_g;az_g;x_g;y_g;z_g;tx_g;ty_g;tz_g
0.1196004;108191.039083291;62330.9466835728;101710.975638558;402.22705861195;108.961628850363;-204.184118739088;0.859788915666004;-1.44121123276277;-0.393041294861728
0.119700603;106554.411347788;60122.2049838449;103326.307751961;403.550440843703;109.375966016476;-204.354086233348;0.858889923244534;-1.44192966520518;-0.392893135804012
0.119800203;105214.677784546;59116.7056816205;103982.115667007;404.866920244628;109.78841103564;-204.522005187537;0.857980797489222;-1.44264233490108;-0.392742250721968
0.119900398;104679.69054476;58551.3626965607;103687.610597622;406.192319273693;110.203912760689;-204.689888866395;0.857059331233999;-1.44335127030094;-0.392588430303403
0.120000601;104654.922993299;58121.0440222872;103102.259970733;407.518876418204;110.620035869759;-204.856745631399;0.85612263482285;-1.44405890623597;-0.392431336795614
0.120100103;104989.262832707;57393.9943918466;102927.50738713;408.837193926918;111.033824601438;-205.021409698667;0.855176731003126;-1.4447609525548;-0.392272205228533
0.120200403;104908.107394527;56224.7686905069;103318.726266683;410.167135223532;111.451505858855;-205.186361600964;0.854217714199041;-1.44546056724636;-0.392110695710816
0.120300703;103460.604822636;55056.4890697864;103288.472307457;411.498128468753;111.869752744884;-205.35027516759;0.853242022627301;-1.44616061807367;-0.391946550394913
0.120400302;101072.777597834;53861.3142753886;102962.333598534;412.82084698856;112.285624523564;-205.512015646829;0.852256854734348;-1.44685615069076;-0.391781260492451
0.120500602;98478.5267684915;52537.0786002693;102492.590444865;414.153887783517;112.704962911243;-205.673862667889;0.851258706621971;-1.44754982191803;-0.391614452380225
0.120600201;96429.36897012;51957.2479172399;102057.834571078;415.478593650564;113.121895398165;-205.833558139386;0.850247786721159;-1.44824188463386;-0.391446248092012
0.120700598;95216.3978118995;51448.5680980133;100788.821048291;416.81488340005;113.542690194234;-205.993510612939;0.84922385016879;-1.44893275151795;-0.391276555558375
0.120800197;95127.0825228088;51479.2653841039;99259.6347518092;418.141502861984;113.960654086248;-206.151188506615;0.848188005571869;-1.44962201755527;-0.391105431502617
